"chr","start","end","idxStart","idxEnd","cluster","n","width","invdensity","areaStat","maxStat","meanDiff","group1.mean","group2.mean","tstat.sd","direction"
"Ca1",25676297,25679354,348709,348861,15469,153,3058,19.9869281045752,-4110.14141824425,-11.072426056549,-0.868389919831282,0.0689424022002586,0.93733232203154,0.0323816184414078,"hypo"
"scaffold642",99339,100746,5858747,5858840,222318,94,1408,14.9787234042553,-3093.15547918985,-19.182494404667,-0.786527964146369,0.100756912297718,0.887284876444087,0.0232179139579317,"hypo"
"scaffold336",410461,411270,5687902,5687967,217490,66,810,12.2727272727273,2490.05065755949,46.5697619857872,0.846381669789583,0.899337662935241,0.0529559931456582,0.0228779421865896,"hyper"
"scaffold553",735685,737416,5826205,5826270,221568,66,1732,26.2424242424242,2413.81729027615,42.8243509361064,0.728278400036904,0.94200193446026,0.213723534423356,0.0202498676510633,"hyper"
"Ca6",51029492,51030441,4223686,4223757,162327,72,950,13.1944444444444,1900.41968435728,28.5544117318127,0.88658644181636,0.923390375750049,0.0368039339336885,0.0311105969670465,"hyper"
"scaffold40",965764,967471,5736994,5737050,218940,57,1708,29.9649122807018,1806.60722920357,34.604564403261,0.875833952348513,0.95808219740837,0.0822482450598567,0.0265695731162569,"hyper"
"scaffold674",486935,488515,5899291,5899350,223262,60,1581,26.35,1769.75073955403,37.1136111778837,0.726347299706856,0.875638229632092,0.149290929925237,0.023409435975272,"hyper"
"Ca2",10961100,10962853,890612,890686,35383,75,1754,23.3866666666667,-1674.4941638538,-10.66689518036,-0.745680093053973,0.167370677026527,0.913050770080501,0.0343577402070301,"hypo"
"Ca6",16991837,16992584,3666006,3666107,142791,102,748,7.33333333333333,1661.2965145323,21.341761982125,0.836061384752153,0.864593766049743,0.0285323812975902,0.0517771322318749,"hyper"
"scaffold876",287889,288948,5964282,5964347,224883,66,1060,16.0606060606061,1635.29930152298,30.3543797153699,0.645530276044701,0.867903991720325,0.222373715675624,0.0256978315622997,"hyper"
"Ca5",11765799,11766898,2850364,2850431,111438,68,1100,16.1764705882353,1578.0082860398,26.0442965538846,0.732846114363013,0.91326404439981,0.180417930036797,0.033778210903584,"hyper"
"Ca6",26854267,26855620,3816075,3816124,148091,50,1354,27.08,1530.39046940185,34.3880476441073,0.826767585689381,0.937063183549191,0.110295597859809,0.0305308223984287,"hyper"
"Ca4",18292203,18293095,2183221,2183281,86612,61,893,14.6393442622951,1365.67007258356,23.0364967805047,0.823454961226535,0.92917351184503,0.105718550618495,0.0361477680275404,"hyper"
