"chr","start","end","idxStart","idxEnd","cluster","n","width","invdensity","areaStat","maxStat","meanDiff","group1.mean","group2.mean","tstat.sd","direction"
"Ca2",30144311,30145790,1326536,1326660,46393,125,1480,11.84,2615.6382294606,22.8018900787811,0.673296511482156,0.679725990132692,0.00642947865053531,0.0309256237672242,"hyper"
"scaffold284",40901,41732,6521626,6521680,215657,55,832,15.1272727272727,2211.19028721765,48.3153781385499,0.84231608947835,0.953384458883227,0.111068369404877,0.0208439566216068,"hyper"
"Ca2",11571233,11573827,1044124,1044205,35755,82,2595,31.6463414634146,-2032.38467371334,-7.01665155984743,-0.809693163465737,0.0453140489526534,0.85500721241839,0.03252981064963,"hypo"
"Ca2",11247477,11249450,1040097,1040158,35553,62,1974,31.8387096774194,-1967.86106549893,-25.5608598108478,-0.90369693651637,0.0398569603093456,0.943553896825716,0.0285235133288117,"hypo"
"scaffold284",285073,286690,6526715,6526761,215784,47,1618,34.4255319148936,-1917.85264339938,-31.6157086255585,-0.932460020435059,0.00996424010175339,0.942424260536813,0.0218478700088237,"hypo"
"Ca2",15617678,15618546,1092323,1092392,37863,70,869,12.4142857142857,-1904.92422001124,-21.7132373048691,-0.832866763316706,0.0456100029798608,0.878476766296567,0.0321251017988778,"hypo"
"scaffold919",694438,696320,6923708,6923784,225814,77,1883,24.4545454545455,-1828.6801128343,-8.99480540700706,-0.641628483695901,0.279837459107862,0.921465942803762,0.0276941830181085,"hypo"
"Ca2",12579313,12580759,1058640,1058694,36452,55,1447,26.3090909090909,-1739.75818708972,-29.0656151953049,-0.868470695832403,0.0148988323551924,0.883369528187596,0.0285223710161553,"hypo"
"Ca2",22903330,22905530,1225095,1225174,42042,80,2201,27.5125,-1681.11784284503,-6.62400523428777,-0.625621543494456,0.279248669589501,0.904870213083957,0.0301406067832486,"hypo"
"Ca2",19565443,19566530,1163683,1163748,40198,66,1088,16.4848484848485,-1521.86214075939,-7.52562852323552,-0.818648451515347,0.0313163895672394,0.849964841082586,0.0358580120554489,"hypo"
"Ca2",11988757,11991112,1050334,1050390,36051,57,2356,41.3333333333333,-1519.13445424152,-7.92680749963417,-0.7287378588926,0.183184302236305,0.911922161128905,0.028213550348902,"hypo"
"Ca2",33927328,33928524,1379210,1379285,48720,76,1197,15.75,-1280.94834725583,-7.36164974854923,-0.623114345747813,0.27001886700881,0.893133212756623,0.0399979184654539,"hypo"
"Ca2",18626554,18628483,1145419,1145462,39663,44,1930,43.8636363636364,-1264.28298369174,-6.92403144459451,-0.813960142909539,0.0615861317282391,0.875546274637778,0.0282035586403428,"hypo"
"Ca2",21463037,21465178,1199768,1199835,41188,68,2142,31.5,1241.96832984188,23.0008838257512,0.662999144629463,0.942321922545935,0.279322777916473,0.0341144476823312,"hyper"
"Ca2",10648629,10649261,1028122,1028164,35195,43,633,14.7209302325581,1239.155772169,31.6023387537456,0.86562930467772,0.947696172364046,0.0820668676863254,0.0292909003066731,"hyper"
"Ca2",13596645,13598457,1073881,1073935,37106,55,1813,32.9636363636364,-1200.44661131903,-7.23791330151483,-0.683054350933584,0.151366041784128,0.834420392717712,0.0319260341841665,"hypo"
"Ca2",9809492,9810082,1015775,1015824,34691,50,591,11.82,-1191.29121413466,-9.80193008441587,-0.796770608787441,0.155462484730325,0.952233093517766,0.0339866184135965,"hypo"
"Ca2",21350945,21353321,1197626,1197681,41115,56,2377,42.4464285714286,-1129.93931771478,-7.93717361787347,-0.8014471408982,0.139797714959845,0.941244855858045,0.0387984012368882,"hypo"
